symbol,market,sector,pe,div,de,npm,roe
CPI,SET,FOOD,6.52,3.87,0.62,9.9,10.11
CPN,SET,PROP,14.95,3.21,1.85,32.82,18.11
CPR,mai,INDUS,19.64,3.49,0.13,5.93,5.18
CPT,SET,IMM,11.71,2.55,0.27,8.65,8.02
CPW,SET,COMM,13.29,6.31,1.55,1.16,12.36
CRC,SET,COMM,22.37,1.63,3.08,3.56,13.62
CSC,SET,PKG,8.32,3.98,0.22,8.78,7.17
CSR,SET,TOURISM,30.19,1.82,0.13,25.67,4.8
CSS,SET,COMM,18.59,2.25,0.85,5.09,3.18
D,mai,SERVICE,19.81,3.92,0.72,4.1,7.84
DCC,SET,CONMAT,13.77,3.35,0.45,15.33,16.7
DCON,SET,CONMAT,17.48,6.67,0.42,-0.47,3.48
DELTA,SET,ETRON,87.63,0.3,0.54,13.53,30.38
DEXON,mai,SERVICE,7.51,3.44,0.27,-4.69,11.88
DITTO,SET,ICT,26.11,1.53,0.32,23.01,14.75
DMT,SET,TRANS,13.26,10.53,0.13,42.34,11.78
DOHOME,SET,COMM,42.25,0.05,1.68,1.03,5.77
DRT,SET,CONMAT,11.5,6.84,0.46,7.75,22.46
DTCENT,SET,ICT,13.42,4.4,0.17,11.51,6.9
EA,SET,ENERG,9.75,3.79,1.7,3.68,7.31
EASON,SET,AUTO,8.27,4.59,0.25,7.8,7.5
ECL,SET,FIN,18.65,4.81,1.74,4.11,3.27
EKH,SET,HELTH,17.28,3.89,0.14,26.52,15.42
EPG,SET,CONMAT,12.75,5.79,0.58,8.93,10.77
ERW,SET,TOURISM,16.28,1.74,2.18,6.71,15.92
ETE,mai,SERVICE,11,3.61,1.58,1.2,4.45
FE,SET,MEDIA,10.32,4.59,0.26,19.46,9.77
FLOYD,mai,PROPCON,11.84,0.73,0.45,8,6.09
FORTH,SET,ICT,42.84,4.52,2.77,3.29,11.32
FPI,mai,INDUS,10.58,5.32,0.71,1.06,11.92
FPT,SET,PROP,18.71,2.67,1.66,8.87,4.53
FSMART,mai,SERVICE,16.19,4.31,1.58,18.58,34.29
FTE,SET,IMM,8.45,11.04,0.46,14.41,14.58
FTI,SET,HOME,43.12,3.33,0.38,-0.88,3.07
FVC,mai,SERVICE,3.92,1.55,0.55,-0.69,16.86
GABLE,SET,ICT,9.26,9.7,1.65,4.03,10.77
GBX,SET,FIN,10.78,8.21,0.91,17.54,4.7
GC,SET,PETRO,12.1,7.29,2.41,2.83,30.88
GFC,mai,SERVICE,17.41,4.15,0.21,16.65,14.89
GFPT,SET,AGRI,6.23,1.51,0.39,10.62,11.06
GLAND,SET,PROP,21.67,1.63,0.79,29.76,2.92
GLOBAL,SET,COMM,33.62,1.08,0.59,4.93,10.31
GPI,SET,MEDIA,8.62,7.36,0.13,-131.09,14.51
GPSC,SET,ENERG,32.85,1.79,1.4,4.24,3.32
GTB,mai,INDUS,7.75,5.33,0.39,7.96,11.65
GULF,SET,ENERG,37.45,1.45,2.28,27.89,16.2
GUNKUL,SET,ENERG,15.33,2.79,1.44,14.16,8.85
GYT,SET,AUTO,11.15,4.05,1.31,5.63,3.1
HANA,SET,ETRON,17.2,4.22,0.21,6.25,4.46
HARN,mai,INDUS,12.54,7.08,0.32,9.39,7.28
HENG,SET,FIN,25.35,5.78,1.69,2.8,3.31
HFT,SET,AUTO,10.05,7.28,0.22,-5.44,7.69
HL,mai,SERVICE,38.62,1.38,0.54,3.27,8.03
HMPRO,SET,COMM,19.26,4.23,1.62,8.47,26.36
HPT,mai,CONSUMP,11.05,7.39,0.14,8.01,8.48
HTC,SET,FOOD,11.12,6.42,0.74,6.84,14.96
HTECH,SET,IMM,14.26,1.3,0.23,8.14,6.33
HUMAN,SET,ICT,24.47,2.47,0.14,17.42,8.87
I2,mai,TECH,7.14,6.94,2.23,2.14,13.58
ICC,SET,COMM,11.64,2.89,0.18,-1.78,3.39
ICHI,SET,FOOD,13.42,6.94,0.2,16.62,22.33
ICN,SET,ICT,12.12,10.31,1.14,9.42,13.06
IFS,SET,FIN,8.88,6.83,1.11,30.32,7.77
III,SET,TRANS,5.61,7.43,0.27,15.87,19.88
