symbol,market,sector,pe,div,de,npm,roe
TKN,SET,FOOD,12.77,5.75,0.74,9.2,39.07
TKS,SET,MEDIA,37.45,4.21,0.34,19.68,2.14
TLI,SET,INSUR,11.92,4.63,4.31,10.03,9.9
TMD,SET,PKG,10.34,6.64,0.08,17.9,11.2
TMI,mai,INDUS,180.27,3.37,2.02,-1.01,1.4
TMILL,mai,AGRO,82.58,5,0.75,2.05,1.36
TMT,SET,STEEL,1282.6,9.2,2.09,-2.68,0.07
TMW,mai,INDUS,4.15,6.97,0.23,14.57,15.66
TNH,mai,SERVICE,16.09,1.61,0.15,13.85,15.78
TNL,SET,FIN,31.48,0.83,0.22,28.83,3.3
TNP,mai,SERVICE,14.65,2.54,0.31,6.46,16.78
TNR,SET,PERSON,4.88,5.65,0.79,3.25,49.19
TOA,SET,CONMAT,14.49,4.73,0.44,3.97,14.9
TOG,SET,PERSON,12.22,6.5,0.97,7.79,17.73
TOP,SET,ENERG,7.66,9.78,1.39,-3.79,6.23
TOPP,SET,PKG,9.13,4,0.21,5.5,6.72
TPAC,SET,PKG,7.9,4.25,1.74,6.3,17.38
TPBI,SET,PKG,5.7,6.07,0.56,1.92,11.21
TPCH,mai,RESOURC,5.55,8.03,0.98,16.51,10.15
TPCS,SET,IMM,70.55,5.86,0.1,8.14,0.64
TPIPL,SET,CONMAT,18.6,9.09,1.47,-1.49,2.06
TPIPP,SET,ENERG,7.71,8.11,0.93,30.18,9.74
TPLAS,mai,INDUS,30.17,3.33,0.16,1.72,3.51
TPP,SET,PKG,16.23,1.75,0.16,20.92,3.15
TPS,mai,TECH,10.17,5.36,0.89,6.71,20.46
TQM,SET,INSUR,16.63,4.24,0.82,23.05,32.42
TQR,mai,FINCIAL,12.53,6.9,0.19,38.03,22.24
TRP,mai,SERVICE,20.11,4.6,0.06,27.98,14.16
TRT,mai,INDUS,3.53,5.41,1.69,12.6,28.46
TRU,SET,AUTO,9.35,6.02,0.14,12.15,6.5
TSC,SET,AUTO,13.11,8.05,0.4,13.23,21.24
TSTE,SET,TRANS,54.44,0.86,0.62,4.08,2.82
TTA,SET,TRANS,21.46,3.3,0.67,-11.91,1.83
TTB,SET,BANK,8.58,5.71,6.45,21.65,9.09
TTCL,SET,CONS,6.58,9.35,5.45,1.11,6.37
TTT,SET,FASHION,6.76,3.94,0.24,4.19,1.91
TTW,SET,ENERG,12.43,6.74,0.3,70.47,19.53
TVH,SET,INSUR,6.87,4.79,3.81,4.59,18.09
TVO,SET,FOOD,12.53,3.57,0.37,5.73,16.25
UAC,SET,PETRO,23.3,7.19,0.79,-5.93,5.13
UBA,mai,SERVICE,6.89,5.65,0.17,11.97,12.17
UBE,SET,ENERG,10.5,2.2,0.2,6.26,4.54
UKEM,mai,INDUS,245.27,1.77,1.43,-0.95,0.34
UMI,SET,CONMAT,16.28,4.62,0.98,2.43,2.48
UNIQ,SET,CONS,16.06,1.88,4.54,1.88,2.17
UOBKH,SET,FIN,43.14,0.75,0.51,8.32,1.48
UP,SET,PETRO,7.28,6.98,0.25,-0.58,9.84
UPF,SET,FASHION,13.02,2.61,0.36,-0.1,5.52
UPOIC,SET,AGRI,9.96,4.84,0.08,11.72,13
UTP,SET,PAPER,7.55,10.59,0.1,12.7,14.66
UV,SET,PROP,137.9,5.63,1.67,2.37,0.73
UVAN,SET,AGRI,6.27,8.29,0.13,10.97,30.21
VCOM,mai,TECH,8.53,12.4,1,7.49,15.82
VIBHA,SET,HELTH,25.95,2.56,0.82,17.34,8.49
VIH,SET,HELTH,14.61,2.29,0.16,12.52,10.7
VL,mai,SERVICE,14.33,2.21,0.68,32.79,9.08
VNG,SET,CONMAT,9.7,0.64,1.38,4.74,7.64
WARRIX,mai,CONSUMP,15.42,2.67,0.29,12.63,10.42
WHA,SET,PROP,14.6,3.41,1.55,26.22,16.48
WHAUP,SET,ENERG,14.75,5.17,1.28,25.26,9.3
WICE,SET,TRANS,16.95,6,0.56,0.8,10.97
WIIK,SET,CONMAT,28.36,5.45,0.28,1.53,1.55
WINDOW,SET,CONMAT,58.55,2.88,0.26,-2.78,1.88
WINMED,mai,CONSUMP,25.53,1.67,0.51,5.39,4.62
WINNER,mai,AGRO,12.81,7.43,1.02,3.84,16.23
WP,SET,ENERG,12.53,8.05,4.29,0.77,10.95
WPH,SET,HELTH,23.07,1.13,0.8,13.71,20.05
XO,mai,AGRO,8.97,4.71,0.19,28.38,57.73
YONG,mai,PROPCON,8.28,7.14,0.42,3.97,9.76
YUASA,mai,INDUS,6.69,4.08,0.48,3.85,14.45
ZEN,SET,FOOD,26.39,4.44,1.19,2.99,5.73
